﻿ID;ACTIVE;NAME;PARENT_CATEGORY;ROOT_CATEGORY;DESCRIPTION;META_TITLE;META_KEYWORDS;META_DESCRIPTION;URL_REWRITTEN;IMAGE_URL;DATE_ADD;DATE_UPD
2570;1;"Mode Accessoires";Accueil;0;;;;;mode-accessoires;;"2017-05-25 16:43:00";"2021-09-20 14:01:20"
2573;1;"Vêtements et Chaussures";"Mode Accessoires";0;;;;;vetements-et-chaussures;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2575;1;Sous-vêtements;"Vêtements et Chaussures";0;;;;;sous-vetements;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2577;1;"Pyjamas et couvertures avec manches";"Vêtements et Chaussures";0;;;;;pyjamas-et-couvertures-avec-manches;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2580;1;"Autres vêtements";"Vêtements et Chaussures";0;;;;;autres-vetements;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2582;1;"Autres accessoires pour les chaussures";"Vêtements et Chaussures";0;;;;;autres-accessoires-pour-les-chaussures;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2584;1;Accessoires;"Mode Accessoires";0;;;;;accessoires;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2586;1;"Lunettes de soleil";"Mode Accessoires";0;;;;;lunettes-de-soleil;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2588;1;"Sacs à main et porte-monnaies";Accessoires;0;;;;;sacs-a-main-et-porte-monnaies;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2590;1;Parapluies;Accessoires;0;;;;;parapluies;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2591;1;"Bonnets et écharpes";Accessoires;0;;;;;bonnets-et-echarpes;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2595;1;"Perles de Verre";Bijoux;0;;;;;perles-de-verre;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2598;1;Bijoux;"Mode Accessoires";0;;;;;bijoux;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2600;1;Bagues;Bijoux;0;;;;;bagues;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2602;1;Bracelets;Bijoux;0;;;;;bracelets;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2604;1;Colliers;Bijoux;0;;;;;colliers;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2606;1;"Autres accessoires";Bijoux;0;;;;;autres-accessoires;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2635;1;Montres-bracelets;"Mode Accessoires";0;;;;;montres-bracelets;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2661;1;"Boucles d'oreilles";Bijoux;0;;;;;boucles-d-oreilles;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2899;1;"Porte Clés";Accessoires;0;;;;;porte-cles;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2954;1;"Broches et boutons de manchette";Bijoux;0;;;;;broches-et-boutons-de-manchette;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2962;1;"Bikinis et maillots de bain";"Vêtements et Chaussures";0;;;;;bikinis-et-maillots-de-bain;;"2017-11-10 08:06:40";"2021-09-20 14:01:20"
2963;1;Chemises;"Vêtements et Chaussures";0;;;;;chemises;;"2019-08-28 09:45:08";"2021-09-20 14:01:20"
2964;1;T-shirt;"Vêtements et Chaussures";0;;;;;t-shirt;;"2018-01-18 10:14:35";"2021-09-20 14:01:20"
2965;1;Gilet;"Vêtements et Chaussures";0;;;;;gilet;;"2021-06-28 14:00:24";"2021-09-20 14:01:20"
2966;1;Casquettes;Accessoires;0;;;;;casquettes;;"2017-11-10 08:06:37";"2021-09-20 14:01:20"
2967;1;Pulls;"Vêtements et Chaussures";0;;;;;pulls;;"2021-07-08 07:00:24";"2021-09-20 14:01:20"
2969;1;Polos;"Vêtements et Chaussures";0;;;;;polos;;"2021-01-11 15:03:00";"2021-09-20 14:01:20"
2970;1;Sweat-shirts;"Vêtements et Chaussures";0;;;;;sweat-shirts;;"2019-08-19 12:15:09";"2021-09-20 14:01:20"
2971;1;Robes;"Vêtements et Chaussures";0;;;;;robes;;"2018-01-18 10:16:12";"2021-09-20 14:01:20"
2972;1;Baskets;"Vêtements et Chaussures";0;;;;;baskets;;"2018-01-17 09:06:04";"2021-09-20 14:01:20"
2973;1;"Chaussures de sport";"Vêtements et Chaussures";0;;;;;chaussures-de-sport;;"2017-11-10 08:05:04";"2021-09-20 14:01:20"
2974;1;"Chaussons de maison";"Vêtements et Chaussures";0;;;;;chaussons-de-maison;;"2017-11-10 08:06:47";"2021-09-20 14:01:20"
2975;1;"Tongs et sabots";"Vêtements et Chaussures";0;;;;;tongs-et-sabots;;"2017-11-10 08:07:01";"2021-09-20 14:01:20"
2976;1;Chaussures;"Vêtements et Chaussures";0;;;;;chaussures;;"2018-01-17 09:02:50";"2021-09-20 14:01:20"
2977;1;"Bottes d'eau";"Vêtements et Chaussures";0;;;;;bottes-d-eau;;"2017-11-10 08:05:56";"2021-09-20 14:01:20"
2978;1;Semelles;"Vêtements et Chaussures";0;;;;;semelles;;"2017-11-10 08:06:59";"2021-09-20 14:01:20"
2979;1;Ceintures;Accessoires;0;;;;;ceintures;;"2018-01-11 09:57:17";"2021-09-20 14:01:20"
2980;1;Pantalons;"Vêtements et Chaussures";0;;;;;vetements-et-chaussures-pantalons;;"2021-07-08 07:00:24";"2022-03-10 07:45:53"
2982;1;Jupes;"Vêtements et Chaussures";0;;;;;jupes;;"2018-01-18 10:15:49";"2021-09-20 14:01:20"
2984;1;Manteaux;"Vêtements et Chaussures";0;;;;;manteaux;;"2018-01-18 10:13:18";"2021-09-20 14:01:20"
2985;1;Vestes;"Vêtements et Chaussures";0;;;;;vestes;;"2018-01-18 10:14:58";"2021-09-20 14:01:20"
2986;1;Chemisiers;"Vêtements et Chaussures";0;;;;;chemisiers;;"2018-01-18 10:14:11";"2021-09-20 14:01:20"
2987;1;"Maillots de bain por homme";"Vêtements et Chaussures";0;;;;;maillots-de-bain-por-homme;;"2021-07-09 14:00:31";"2021-09-20 14:01:20"
2994;1;"Montres homme";Montres-bracelets;0;;;;;montres-homme;;"2017-11-10 08:06:15";"2021-09-20 14:01:20"
2995;1;"Montres femme";Montres-bracelets;0;;;;;montres-femme;;"2017-11-10 08:06:18";"2021-09-20 14:01:20"
2996;1;"Montres unisexe";Montres-bracelets;0;;;;;montres-unisexe;;"2017-11-10 08:06:24";"2021-09-20 14:01:20"
2997;1;"Montres enfants";Montres-bracelets;0;;;;;montres-enfants;;"2017-11-10 08:06:29";"2021-09-20 14:01:20"
2998;1;"Lunettes de soleil homme";"Lunettes de soleil";0;;;;;lunettes-de-soleil-homme;;"2017-11-10 08:06:30";"2021-09-20 14:01:20"
2999;1;"Lunettes de soleil femme";"Lunettes de soleil";0;;;;;lunettes-de-soleil-femme;;"2017-11-10 08:06:32";"2021-09-20 14:01:20"
3000;1;"Lunettes de soleil unisexe";"Lunettes de soleil";0;;;;;lunettes-de-soleil-unisexe;;"2017-11-10 08:06:33";"2021-09-20 14:01:20"
3001;1;"Lunettes de soleil enfants";"Lunettes de soleil";0;;;;;lunettes-de-soleil-enfants;;"2017-11-10 08:06:34";"2021-09-20 14:01:20"
3370;1;"Shorts et bermudas";"Vêtements et Chaussures";0;;;;;shorts-et-bermudas;;"2021-07-08 14:00:26";"2021-09-20 14:01:20"
3372;1;Bottes;"Vêtements et Chaussures";0;;;;;bottes;;"2019-08-28 10:01:56";"2021-09-20 14:01:20"
3373;1;Sandales;"Vêtements et Chaussures";0;;;;;sandales;;"2019-08-28 10:05:53";"2021-09-20 14:01:20"
3375;1;Leggings;"Vêtements et Chaussures";0;;;;;leggings;;"2021-07-08 07:00:24";"2021-09-20 14:01:20"
